Bot [0]  Low : bot 58    High : bot 69 
Bot [1]  Low : bot 17    High : bot 4 
Bot [2]  Low : bot 116    High : bot 30 
Bot [3]  Low : bot 140    High : bot 186 
Bot [4]  Low : bot 91    High : bot 190 
Bot [5]  Low : bot 36    High : bot 141 
Bot [6]  Low : bot 10    High : bot 26 
Bot [7]  Low : bot 194    High : bot 94 
Bot [8]  Low : bot 167    High : bot 21 
Bot [9]  Low : bot 127    High : bot 117 
Bot [10]  Low : bot 45    High : bot 104 
Bot [11]  Low : bot 168    High : bot 143 
Bot [12]  Low : bot 141    High : bot 101 
Bot [13]  Low : bot 166    High : bot 173 
Bot [14]  Low : bot 28    High : bot 39 
Bot [15]  Low : bot 9    High : bot 150 
Bot [16]  Low : bot 174    High : bot 109 
Bot [17]  Low : bot 136    High : bot 91 
Bot [18]  Low : output 0    High : bot 202 
Bot [19]  Low : bot 43    High : bot 89 
Bot [20]  Low : bot 62    High : bot 198 
Bot [21]  Low : bot 122    High : bot 209 
Bot [22]  Low : bot 184    High : bot 185 
Bot [23]  Low : output 8    High : bot 116 
Bot [24]  Low : bot 5    High : bot 12 
Bot [25]  Low : bot 106    High : bot 207 
Bot [26]  Low : bot 104    High : bot 35 
Bot [27]  Low : bot 98    High : bot 174 
Bot [28]  Low : bot 21    High : bot 206 
Bot [29]  Low : bot 31    High : bot 192 
Bot [30]  Low : bot 137    High : bot 193 
Bot [31]  Low : bot 14    High : bot 57 
Bot [32]  Low : output 9    High : bot 115 
Bot [33]  Low : bot 51    High : bot 160 
Bot [34]  Low : bot 88    High : bot 11 
Bot [35]  Low : bot 121    High : bot 20 
Bot [36]  Low : bot 22    High : bot 135 
Bot [37]  Low : bot 59    High : bot 194 
Bot [38]  Low : bot 163    High : bot 159 
Bot [39]  Low : bot 206    High : bot 112 
Bot [40]  Low : bot 48    High : bot 6 
Bot [41]  Low : bot 105    High : bot 154 
Bot [42]  Low : bot 84    High : bot 147 
Bot [43]  Low : bot 161    High : bot 102 
Bot [44]  Low : bot 191    High : bot 47 
Bot [45]  Low : bot 24    High : bot 176 
Bot [46]  Low : bot 186    High : bot 133 
Bot [47]  Low : bot 196    High : bot 19 
Bot [48]  Low : bot 156    High : bot 10 
Bot [49]  Low : bot 173    High : bot 88 
Bot [50]  Low : output 18    High : bot 200 
Bot [51]  Low : output 15    High : bot 32 
Bot [52]  Low : bot 54    High : bot 103 
Bot [53]  Low : bot 35    High : bot 76 
Bot [54]  Low : bot 201    High : bot 103 
Bot [55]  Low : bot 69    High : bot 93 
Bot [56]  Low : bot 0    High : bot 55 
Bot [57]  Low : bot 39    High : bot 189 
Bot [58]  Low : output 16    High : bot 23 
Bot [59]  Low : bot 108    High : bot 79 
Bot [60]  Low : bot 162    High : bot 166 
Bot [61]  Low : bot 148    High : bot 163 
Bot [62]  Low : bot 41    High : bot 146 
Bot [63]  Low : bot 101    High : bot 41 
Bot [64]  Low : bot 26    High : bot 53 
Bot [65]  Low : bot 157    High : bot 52 
Bot [66]  Low : bot 207    High : bot 82 
Bot [67]  Low : bot 123    High : bot 164 
Bot [68]  Low : bot 110    High : bot 129 
Bot [69]  Low : bot 23    High : bot 2 
Bot [70]  Low : bot 132    High : bot 205 
Bot [71]  Low : bot 100    High : bot 78 
Bot [72]  Low : bot 3    High : bot 46 
Bot [73]  Low : bot 204    High : bot 36 
Bot [74]  Low : bot 128    High : bot 184 
Bot [75]  Low : bot 144    High : bot 123 
Bot [76]  Low : bot 20    High : bot 198 
Bot [77]  Low : bot 109    High : bot 169 
Bot [78]  Low : bot 131    High : bot 42 
Bot [79]  Low : bot 15    High : bot 130 
Bot [80]  Low : output 20    High : output 13 
Bot [81]  Low : bot 89    High : bot 68 
Bot [82]  Low : bot 113    High : bot 171 
Bot [83]  Low : bot 158    High : bot 80 
Bot [84]  Low : bot 164    High : bot 147 
Bot [85]  Low : bot 208    High : bot 0 
Bot [86]  Low : bot 171    High : bot 152 
Bot [87]  Low : bot 67    High : bot 84 
Bot [88]  Low : bot 77    High : bot 168 
Bot [89]  Low : bot 102    High : bot 68 
Bot [90]  Low : bot 70    High : bot 167 
Bot [91]  Low : bot 64    High : bot 190 
Bot [92]  Low : bot 130    High : bot 118 
Bot [93]  Low : bot 2    High : bot 165 
Bot [94]  Low : bot 92    High : bot 118 
